FirstName,LastName,Order,PMID,DOI,Journal,Field,CitationCount,Gender,Date.Received,Date.Published,Title,Address
Sarah,Melzer,1,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,F,23-Oct-20,28-Oct-21,NA,NA
Elena,Newmark,2,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,F,23-Oct-20,28-Oct-21,NA,NA
Grace,Mizuno,3,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,F,23-Oct-20,28-Oct-21,NA,NA
Minsuk,Hyun,4,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,M,23-Oct-20,28-Oct-21,NA,NA
Adrienne,Philson,5,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,F,23-Oct-20,28-Oct-21,NA,NA
Eleonora,Quiroli,6,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,F,23-Oct-20,28-Oct-21,NA,NA
Beatrice,Righetti,7,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,F,23-Oct-20,28-Oct-21,NA,NA
Malika,Gregory,8,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,F,23-Oct-20,28-Oct-21,NA,NA
Kee,Huang,9,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,M,23-Oct-20,28-Oct-21,NA,NA
James,Levasseur,10,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,M,23-Oct-20,28-Oct-21,NA,NA
Lin,Tian,11,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,F,23-Oct-20,28-Oct-21,NA,NA
Bernardo,Sabatini,12,34610277,10.1016/j.cell.2021.09.013,Cell,Biology,4,M,23-Oct-20,28-Oct-21,NA,NA
Peter,Chen,1,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,M,6-Jun-21,14-Oct-21,NA,NA
Jeffrey,Hussmann,2,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,M,6-Jun-21,14-Oct-21,NA,NA
Jun,Yan,3,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,M,6-Jun-21,14-Oct-21,NA,NA
Friederike,Knipping,4,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,F,6-Jun-21,14-Oct-21,NA,NA
Purnima,Ravisankar,5,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,F,6-Jun-21,14-Oct-21,NA,NA
Pin-Fang,Chen,6,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,F,6-Jun-21,14-Oct-21,NA,NA
Cidi,Chen,7,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,F,6-Jun-21,14-Oct-21,NA,NA
James,Nelson,8,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,M,6-Jun-21,14-Oct-21,NA,NA
Gregory,Newby,9,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,M,6-Jun-21,14-Oct-21,NA,NA
Mustafa,Sahin,10,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,M,6-Jun-21,14-Oct-21,NA,NA
Mark,Osborn,11,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,M,6-Jun-21,14-Oct-21,NA,NA
Jonathan,Weissman,12,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,M,6-Jun-21,14-Oct-21,NA,NA
Britt,Adamson,13,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,F,6-Jun-21,14-Oct-21,NA,NA
David,Liu,14,34653350,10.1016/j.cell.2021.09.018,Cell,Biology,0,M,6-Jun-21,14-Oct-21,NA,NA
Andrew,Modzelewski,1,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,M,23-Mar-21,12-Oct-21,NA,NA
Wanqing,Shao,2,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Jingqi,Chen,3,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Angus,Lee,4,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,M,23-Mar-21,12-Oct-21,NA,NA
Xin,Qi,5,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Mackenzie,Noon,6,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Kristy,Tjokro,7,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Gabriele,Sales,8,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Anne,Biton,9,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Aparna,Anand,10,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Terence,Speed,11,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,M,23-Mar-21,12-Oct-21,NA,NA
Zhenyu,Xuan,12,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,M,23-Mar-21,12-Oct-21,NA,NA
Ting,Wang,13,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Davide,Risso,14,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,M,23-Mar-21,12-Oct-21,NA,NA
Lin,He,15,34644528,10.1016/j.cell.2021.09.021,Cell,Biology,0,F,23-Mar-21,12-Oct-21,NA,NA
Barbara,Grünwald,1,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Antoine,Devisme,2,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Geoffroy,Andrieux,3,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Foram,Vyas,4,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Kazeera,Aliar,5,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Curtis,McCloskey,6,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Andrew,Macklin,7,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Gun,Jang,8,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Robert,Denroche,9,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Joan,Romero,10,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Prashant,Bavi,11,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Peter,Bronsert,12,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Faiyaz,Notta,13,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Grainne,O'Kane,14,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Julie,Wilson,15,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Jennifer,Knox,16,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Laura,Tamblyn,17,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Molly,Udaskin,18,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Nikolina,Radulovich,19,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Sandra,Fischer,20,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Melanie,Boerries,21,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,12-Oct-21,NA,NA
Steven,Gallinger,22,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Thomas,Kislinger,23,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,M,12-Apr-21,12-Oct-21,NA,NA
Rama,Khokha,24,34644529,10.1016/j.cell.2021.09.022,Cell,Biology,0,F,12-Apr-21,11-Oct-21,NA,NA
Brendan,Lehnert,1,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,M,3-Feb-21,11-Oct-21,NA,NA
Celine,Santiago,2,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,F,3-Feb-21,11-Oct-21,NA,NA
Erica,Huey,3,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,F,3-Feb-21,11-Oct-21,NA,NA
Alan,Emanuel,4,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,M,3-Feb-21,11-Oct-21,NA,NA
Sophia,Renauld,5,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,F,3-Feb-21,11-Oct-21,NA,NA
Nusrat,Africawala,6,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,F,3-Feb-21,11-Oct-21,NA,NA
Ilayda,Alkislar,7,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,F,3-Feb-21,11-Oct-21,NA,NA
Yang,Zheng,8,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,M,3-Feb-21,11-Oct-21,NA,NA
Ling,Bai,9,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,F,3-Feb-21,11-Oct-21,NA,NA
Charalampia,Koutsioumpa,10,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,F,3-Feb-21,11-Oct-21,NA,NA
Jennifer,Hong,11,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,F,3-Feb-21,11-Oct-21,NA,NA
Alexandra,Magee,12,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,F,3-Feb-21,11-Oct-21,NA,NA
Christopher,Harvey,13,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,M,3-Feb-21,11-Oct-21,NA,NA
David,Ginty,14,34637701,10.1016/j.cell.2021.09.023,Cell,Biology,0,M,3-Feb-21,11-Oct-21,NA,NA
Gail,Cross,1,34587491,10.1016/j.cell.2021.09.025,Cell,Biology,0,F,21-Sep-21,21-Sep-21,NA,NA
Jessica,Ho,2,34587491,10.1016/j.cell.2021.09.025,Cell,Biology,0,F,21-Sep-21,21-Sep-21,NA,NA
William,Zacharias,3,34587491,10.1016/j.cell.2021.09.025,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
Anand,Jeyasekharan,4,34587491,10.1016/j.cell.2021.09.025,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
Ivan,Marazzi,5,34587491,10.1016/j.cell.2021.09.025,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
Bei,Liu,1,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,F,21-Sep-21,21-Sep-21,NA,NA
Orrin,Stone,2,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
