"","DOI","ForeName","Middle1","Middle2","LastName","Order","Title","PMID","Journal","Address","CitationCount"
"1","10.1016/j.cell.2021.09.013","Minsuk","","","Hyun",4,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4
"2","10.1016/j.cell.2021.09.013","Kee","Wui","","Huang",9,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4
"3","10.1016/j.cell.2021.09.013","Adrienne","C","","Philson",5,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4
"4","10.1016/j.cell.2021.09.013","Lin","","","Tian",11,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Departments of Biochemistry and Molecular Medicine, School of Medicine, University of California, Davis, Davis, CA, USA",4
"5","10.1016/j.cell.2021.09.013","Beatrice","","","Righetti",7,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4
"6","10.1016/j.cell.2021.09.013","Eleonora","","","Quiroli",6,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4
"7","10.1016/j.cell.2021.09.013","Sarah","","","Melzer",1,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4
"8","10.1016/j.cell.2021.09.013","Malika","R","","Gregory",8,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4
"9","10.1016/j.cell.2021.09.013","James","","","Levasseur",10,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4
"10","10.1016/j.cell.2021.09.013","Bernardo","L","","Sabatini",12,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA. Electronic address: bsabatini@hms.harvard",4
"11","10.1016/j.cell.2021.09.013","Elena","R","","Newmark",2,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4
"12","10.1016/j.cell.2021.09.013","Grace","Or","","Mizuno",3,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.","34610277","Cell","Departments of Biochemistry and Molecular Medicine, School of Medicine, University of California, Davis, Davis, CA, USA",4
"13","10.1016/j.cell.2021.09.018","Friederike","","","Knipping",4,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Department of Pediatrics, University of Minnesota, Minneapolis, MN 55454, USA",0
"14","10.1016/j.cell.2021.09.018","Britt","","","Adamson",13,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Department of Molecular Biology, Princeton University, Princeton, NJ 08544, USA",0
"15","10.1016/j.cell.2021.09.018","David","R","","Liu",14,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Merkin Institute of Transformative Technologies in Healthcare, Broad Institute of Harvard and MIT, Cambridge, MA 02141, USA",0
"16","10.1016/j.cell.2021.09.018","Pin-Fang","","","Chen",6,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Human Neuron Core, Rosamund Stone Zander Translational Neuroscience Center, Boston Children's Hospital, Boston, MA 02115, USA",0
"17","10.1016/j.cell.2021.09.018","Cidi","","","Chen",7,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Human Neuron Core, Rosamund Stone Zander Translational Neuroscience Center, Boston Children's Hospital, Boston, MA 02115, USA",0
"18","10.1016/j.cell.2021.09.018","Mark","J","","Osborn",11,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Department of Pediatrics, University of Minnesota, Minneapolis, MN 55454, USA",0
"19","10.1016/j.cell.2021.09.018","Jun","","","Yan",3,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Department of Molecular Biology, Princeton University, Princeton, NJ 08544, USA",0
"20","10.1016/j.cell.2021.09.018","Peter","J","","Chen",1,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Merkin Institute of Transformative Technologies in Healthcare, Broad Institute of Harvard and MIT, Cambridge, MA 02141, USA",0
"21","10.1016/j.cell.2021.09.018","Gregory","A","","Newby",9,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Merkin Institute of Transformative Technologies in Healthcare, Broad Institute of Harvard and MIT, Cambridge, MA 02141, USA",0
"22","10.1016/j.cell.2021.09.018","James","W","","Nelson",8,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Merkin Institute of Transformative Technologies in Healthcare, Broad Institute of Harvard and MIT, Cambridge, MA 02141, USA",0
"23","10.1016/j.cell.2021.09.018","Purnima","","","Ravisankar",5,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Lewis-Sigler Institute for Integrative Genomics, Princeton University, Princeton, NJ 08544, USA",0
"24","10.1016/j.cell.2021.09.018","Jonathan","S","","Weissman",12,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Department of Cellular and Molecular Pharmacology, University of California, San Francisco, San Francisco, CA 94158, USA",0
"25","10.1016/j.cell.2021.09.018","Mustafa","","","Sahin",10,"Enhanced prime editing systems by manipulating cellular determinants of editing outcomes.","34653350","Cell","Human Neuron Core, Rosamund Stone Zander Translational Neuroscience Center, Boston Children's Hospital, Boston, MA 02115, USA",0
