"","ForeName","Middle1","Middle2","LastName","PMID","Title","DOI","Journal","Address","Unique"
"1","Katherine","J","","Siddle",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA. Electronic address: kjsiddle@broadinstitute","Katherine Siddle 35051367"
"2","Lydia","A","","Krasilnikova",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Lydia Krasilnikova 35051367"
"3","Gage","K","","Moreno",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Gage Moreno 35051367"
"4","Stephen","F","","Schaffner",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Stephen Schaffner 35051367"
"5","Johanna","","","Vostok",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Johanna Vostok 35051367"
"6","Nicholas","A","","Fitzgerald",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Nicholas Fitzgerald 35051367"
"7","Jacob","E","","Lemieux",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Jacob Lemieux 35051367"
"8","Nikolaos","","","Barkas",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Nikolaos Barkas 35051367"
"9","Christine","","","Loreth",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Christine Loreth 35051367"
"10","Ivan","","","Specht",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Ivan Specht 35051367"
