"","ForeName","X","DOI","Middle1","Middle2","LastName","Order","Title","PMID","Journal","Address","CitationCount","proportion_male","proportion_female","gender","year_min","year_max"
"1","A",1881,"10.15252/embj.2020106459","Francis","","Stewart",17,"Postnatal expression of the lysine methyltransferase SETD1B is essential for learning and the regulation of neuron-enriched genes.",34806773,"The EMBO journal","Biotechnology Center, Center for Molecular and Cellular Bioengineering, Dresden University of Technology, Dresden, Germany",0,NA,NA,NA,NA,NA
"2","A",1693,"10.1038/s41596-021-00626-x","John","","Iafrate",9,"Defining genome-wide CRISPR-Cas genome-editing nuclease activity with GUIDE-seq.",34773119,"Nature protocols","Molecular Pathology Unit, Massachusetts General Hospital, Charlestown, MA, USA",0,NA,NA,NA,NA,NA
"3","Aaron",863,"10.1016/j.cell.2021.11.009","W","K","Tan",4,"Human antibody C10 neutralizes by diminishing Zika but enhancing dengue virus dynamics.",34852238,"Cell","Duke-National University of Singapore Medical School, 8 College Road, Singapore 169857, Singapore",2,0.9918,0.0082,"male",1932,2012
"4","Aaron",1349,"10.1016/j.cell.2021.12.004","A","","Diaz",30,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"Cell","Department of Neurological Surgery, University of California, San Francisco, San Francisco, CA 94143, USA",0,0.9918,0.0082,"male",1932,2012
"5","Aaron",2266,"10.15252/embj.2021108307","O","","Bailey",8,"UBR7 acts as a histone chaperone for post-nucleosomal histone H3.",34786730,"The EMBO journal","Department of Biochemistry and Molecular Biology, University of Texas Medical Branch, Galveston, TX, USA",0,0.9918,0.0082,"male",1932,2012
"6","Abe",2696,"10.15252/msb.202110847","","","Pressman",3,"The genotype-phenotype landscape of an allosteric protein.",34913592,"Molecular systems biology","",0,1,0,"male",1932,2012
"7","Abel",2439,"10.15252/embj.2021108714","","","Vertesy",4,"Neurotransmitter signaling regulates distinct phases of multimodal human interneuron migration.",34661293,"The EMBO journal","Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA), Vienna, Austria",1,0.9972,0.0028,"male",1932,2012
"8","Abhik",1098,"10.1016/j.cell.2021.11.028","K","","Banerjee",10,"Xist nucleates local protein gradients to propagate silencing across the X chromosome.",34890555,"Cell","",0,1,0,"male",1932,2012
"9","Abhik",474,"10.1016/j.cell.2021.10.022","K","","Banerjee",10,"Xist nucleates local protein gradients to propagate silencing across the X chromosome.",34813726,"Cell","Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA",3,1,0,"male",1932,2012
"10","Abhik",370,"10.1016/j.cell.2021.10.014","K","","Banerjee",5,"RNA promotes the formation of spatial compartments in the nucleus.",34739832,"Cell","Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA",7,1,0,"male",1932,2012
"11","Abhishek",141,"10.1016/j.cell.2021.09.033","","","Aich",6,"An in vitro system to silence mitochondrial gene expression.",34672953,"Cell","Department of Cellular Biochemistry, University Medical Center Göttingen, 37073 Göttingen, Germany",3,1,0,"male",1932,2012
"12","Adam",1059,"10.1016/j.cell.2021.11.023","","","Catching",9,"A defective viral genome strategy elicits broad protective immunity against respiratory viruses.",34852237,"Cell","Department of Microbiology and Immunology, University of California, San Francisco, San Francisco, CA 94158, USA",3,0.9959,0.0041,"male",1932,2012
"13","Adam",1010,"10.1016/j.cell.2021.11.019","","","Hantman",5,"A genetically defined insula-brainstem circuit selectively controls motivational vigor.",34890577,"Cell","HHMI Janelia Research Campus, Ashburn, VA 20147, USA",1,0.9959,0.0041,"male",1932,2012
"14","Adam",669,"10.1016/j.cell.2021.10.031","J","","Kucharski",16,"Infodemics: A new challenge for public health.",34890548,"Cell","Department of Infectious Disease Epidemiology, London School of Hygiene &amp",1,0.9959,0.0041,"male",1932,2012
"15","Adam",1354,"10.1016/j.cell.2021.12.004","B","","Olshen",19,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"Cell","UCSF Immunoprofiler Initiative, University of California, San Francisco, San Francisco, CA 94143, USA",0,0.9959,0.0041,"male",1932,2012
"16","Ádám",2193,"10.15252/embj.2021108225","","","Póti",7,"Epistasis, aneuploidy, and functional mutations underlie evolution of resistance to induced microtubule depolymerization.",34605051,"The EMBO journal","Institute of Enzymology, Research Centre for Natural Sciences, Budapest, Hungary",0,NA,NA,NA,NA,NA
"17","Adi",116,"10.1016/j.cell.2021.09.031","","","Millman",3,"Cyclic CMP and cyclic UMP mediate bacterial immunity against phages.",34644530,"Cell","Department of Molecular Genetics, Weizmann Institute of Science, Rehovot 7610001, Israel",8,0.394,0.606,"female",1932,2012
"18","Adil",1336,"10.1016/j.cell.2021.12.004","I","","Daud",28,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"Cell","Department of Medicine, Division of Hematology and Oncology, University of California, San Francisco, San Francisco, CA 94143, USA",0,1,0,"male",1932,2012
"19","Aditya",454,"10.1016/j.cell.2021.10.021","","","Nair",3,"A genetically tractable jellyfish model for systems and evolutionary neuroscience.",34822783,"Cell","Division of Biology and Biological Engineering 140-18, California Institute of Technology, Pasadena, CA 91125, USA",3,0.9986,0.0014,"male",1932,2012
"20","Adnan",822,"10.1016/j.cell.2021.11.007","S","","Askari",9,"Neoantigen-driven B cell and CD4 T follicular helper cell collaboration promotes anti-tumor CD8 T cell responses.",34852236,"Cell","Department of Immunobiology, Yale University School of Medicine, New Haven, CT 06520, USA",1,1,0,"male",1932,2012
"21","Adolf",1913,"10.15252/embj.2020106837","S","","Bierhuizen",4,"Molecular species selectivity of lipid transport creates a mitochondrial sink for di-unsaturated phospholipids.",34873731,"The EMBO journal","Membrane Biochemistry &amp",0,1,0,"male",1932,2012
"22","Adrian",1820,"10.15252/embj.2020105026","M","","Isaacs",16,"C9orf72 ALS/FTD dipeptide repeat protein levels are reduced by small molecules that inhibit PKA or enhance protein degradation.",34791698,"The EMBO journal","Department of Neurodegenerative Disease, UCL Queen Square Institute of Neurology, London, UK",0,0.9268,0.0732,"male",1932,2012
"23","Adrian",909,"10.1016/j.cell.2021.11.014","","","Brückner",1,"Evolutionary assembly of cooperating cell types in an animal chemical defense system.",34890552,"Cell","Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA",0,0.9268,0.0732,"male",1932,2012
"24","Adrian",315,"10.1016/j.cell.2021.10.011","","","Shields",33,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"Cell","Institute of Immunology and Immunotherapy, College of Medical and Dental Science, University of Birmingham, Birmingham, UK",24,0.9268,0.0732,"male",1932,2012
"25","Adriana",2453,"10.15252/embj.2021108788","","","Magalska",5,"The nucleoporin Nup50 activates the Ran guanine nucleotide exchange factor RCC1 to promote NPC assembly at the end of mitosis.",34725842,"The EMBO journal","Friedrich Miescher Laboratory of the Max Planck Society, Tübingen, Germany",1,0.0046,0.9954,"female",1932,2012
"26","Adrienn",289,"10.1016/j.cell.2021.10.011","","","Angyal",13,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"Cell","Department of Infection, Immunity and Cardiovascular Disease, University of Sheffield, Sheffield, UK",24,0.1966,0.8034,"female",1932,2012
