,Unique,X,DOI,ForeName,Middle1,Middle2,LastName,Order,PMID,Journal,CitationCount,PackGender,GenderizeRGender,GenderCon,Year,DateReceived,DatePublished,Field
2472,SarahMelzer34610277,12,10.1016/j.cell.2021.09.013,Sarah,,,Melzer,1,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
664,ElenaNewmark34610277,7,10.1016/j.cell.2021.09.013,Elena,R,,Newmark,2,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
867,GraceMizuno34610277,10,10.1016/j.cell.2021.09.013,Grace,Or,,Mizuno,3,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
1804,MinsukHyun34610277,11,10.1016/j.cell.2021.09.013,Minsuk,,,Hyun,4,34610277,Cell,4,,M,M,2021,23-Oct-20,28-Oct-21,Biology
26,AdriennePhilson34610277,5,10.1016/j.cell.2021.09.013,Adrienne,C,,Philson,5,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
666,EleonoraQuiroli34610277,3,10.1016/j.cell.2021.09.013,Eleonora,,,Quiroli,6,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
297,BeatriceRighetti34610277,6,10.1016/j.cell.2021.09.013,Beatrice,,,Righetti,7,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
1592,MalikaGregory34610277,1,10.1016/j.cell.2021.09.013,Malika,R,,Gregory,8,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
1380,KeeHuang34610277,9,10.1016/j.cell.2021.09.013,Kee,Wui,,Huang,9,34610277,Cell,4,M,M,M,2021,23-Oct-20,28-Oct-21,Biology
1053,JamesLevasseur34610277,2,10.1016/j.cell.2021.09.013,James,,,Levasseur,10,34610277,Cell,4,M,M,M,2021,23-Oct-20,28-Oct-21,Biology
1521,LinTian34610277,8,10.1016/j.cell.2021.09.013,Lin,,,Tian,11,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
314,BernardoSabatini34610277,4,10.1016/j.cell.2021.09.013,Bernardo,L,,Sabatini,12,34610277,Cell,4,M,M,M,2021,23-Oct-20,28-Oct-21,Biology
2220,PeterChen34653350,18,10.1016/j.cell.2021.09.018,Peter,J,,Chen,1,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
1097,JeffreyHussmann34653350,17,10.1016/j.cell.2021.09.018,Jeffrey,A,,Hussmann,2,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
1320,JunYan34653350,22,10.1016/j.cell.2021.09.018,Jun,,,Yan,3,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
810,FriederikeKnipping34653350,15,10.1016/j.cell.2021.09.018,Friederike,,,Knipping,4,34653350,Cell,0,,F,F,2021,6-Jun-21,14-Oct-21,Biology
2267,PurnimaRavisankar34653350,26,10.1016/j.cell.2021.09.018,Purnima,,,Ravisankar,5,34653350,Cell,0,F,F,F,2021,6-Jun-21,14-Oct-21,Biology
2249,Pin-FangChen34653350,20,10.1016/j.cell.2021.09.018,Pin-Fang,,,Chen,6,34653350,Cell,0,,F,F,2021,6-Jun-21,14-Oct-21,Biology
501,CidiChen34653350,21,10.1016/j.cell.2021.09.018,Cidi,,,Chen,7,34653350,Cell,0,,F,F,2021,6-Jun-21,14-Oct-21,Biology
