"","ForeName","Middle1","Middle2","LastName","Order","Title","PMID","DOI","Journal","Address"
"1","A","John","","Iafrate",9,"Defining genome-wide CRISPR-Cas genome-editing nuclease activity with GUIDE-seq.","34773119","10.1038/s41596-021-00626-x","Nature protocols","Molecular Pathology Unit, Massachusetts General Hospital, Charlestown, MA, USA"
"2","A","Francis","","Stewart",17,"Postnatal expression of the lysine methyltransferase SETD1B is essential for learning and the regulation of neuron-enriched genes.","34806773","10.15252/embj.2020106459","The EMBO journal","Biotechnology Center, Center for Molecular and Cellular Bioengineering, Dresden University of Technology, Dresden, Germany"
"3","Aaron","O","","Bailey",8,"UBR7 acts as a histone chaperone for post-nucleosomal histone H3.","34786730","10.15252/embj.2021108307","The EMBO journal","Department of Biochemistry and Molecular Biology, University of Texas Medical Branch, Galveston, TX, USA"
"4","Aaron","A","","Diaz",30,"Discovering dominant tumor immune archetypes in a pan-cancer census.","34963056","10.1016/j.cell.2021.12.004","Cell","Department of Neurological Surgery, University of California, San Francisco, San Francisco, CA 94143, USA"
"5","Aaron","W","K","Tan",4,"Human antibody C10 neutralizes by diminishing Zika but enhancing dengue virus dynamics.","34852238","10.1016/j.cell.2021.11.009","Cell","Duke-National University of Singapore Medical School, 8 College Road, Singapore 169857, Singapore"
"6","Abe","","","Pressman",3,"The genotype-phenotype landscape of an allosteric protein.","34913592","10.15252/msb.202110847","Molecular systems biology",""
"7","Abel","","","Vertesy",4,"Neurotransmitter signaling regulates distinct phases of multimodal human interneuron migration.","34661293","10.15252/embj.2021108714","The EMBO journal","Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA), Vienna, Austria"
"8","Abhik","K","","Banerjee",5,"RNA promotes the formation of spatial compartments in the nucleus.","34739832","10.1016/j.cell.2021.10.014","Cell","Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA"
"9","Abhik","K","","Banerjee",10,"Xist nucleates local protein gradients to propagate silencing across the X chromosome.","34813726","10.1016/j.cell.2021.10.022","Cell","Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA"
"10","Abhik","K","","Banerjee",10,"Xist nucleates local protein gradients to propagate silencing across the X chromosome.","34890555","10.1016/j.cell.2021.11.028","Cell",""
"11","Abhishek","","","Aich",6,"An in vitro system to silence mitochondrial gene expression.","34672953","10.1016/j.cell.2021.09.033","Cell","Department of Cellular Biochemistry, University Medical Center Göttingen, 37073 Göttingen, Germany"
"12","Adam","","","Catching",9,"A defective viral genome strategy elicits broad protective immunity against respiratory viruses.","34852237","10.1016/j.cell.2021.11.023","Cell","Department of Microbiology and Immunology, University of California, San Francisco, San Francisco, CA 94158, USA"
"13","Adam","","","Hantman",5,"A genetically defined insula-brainstem circuit selectively controls motivational vigor.","34890577","10.1016/j.cell.2021.11.019","Cell","HHMI Janelia Research Campus, Ashburn, VA 20147, USA"
"14","Adam","J","","Kucharski",16,"Infodemics: A new challenge for public health.","34890548","10.1016/j.cell.2021.10.031","Cell","Department of Infectious Disease Epidemiology, London School of Hygiene &amp"
"15","Adam","B","","Olshen",19,"Discovering dominant tumor immune archetypes in a pan-cancer census.","34963056","10.1016/j.cell.2021.12.004","Cell","UCSF Immunoprofiler Initiative, University of California, San Francisco, San Francisco, CA 94143, USA"
