"","ForeName","Middle1","Middle2","LastName","Order","PMID","DOI","Journal"
"1","A","John","","Iafrate",9,"34773119","10.1038/s41596-021-00626-x","Nature protocols"
"2","A","Francis","","Stewart",17,"34806773","10.15252/embj.2020106459","The EMBO journal"
"3","Aaron","O","","Bailey",8,"34786730","10.15252/embj.2021108307","The EMBO journal"
"4","Aaron","A","","Diaz",30,"34963056","10.1016/j.cell.2021.12.004","Cell"
"5","Aaron","W","K","Tan",4,"34852238","10.1016/j.cell.2021.11.009","Cell"
"6","Abe","","","Pressman",3,"34913592","10.15252/msb.202110847","Molecular systems biology"
"7","Abel","","","Vertesy",4,"34661293","10.15252/embj.2021108714","The EMBO journal"
"8","Abhik","K","","Banerjee",5,"34739832","10.1016/j.cell.2021.10.014","Cell"
"9","Abhik","K","","Banerjee",10,"34813726","10.1016/j.cell.2021.10.022","Cell"
"10","Abhik","K","","Banerjee",10,"34890555","10.1016/j.cell.2021.11.028","Cell"
"11","Abhishek","","","Aich",6,"34672953","10.1016/j.cell.2021.09.033","Cell"
"12","Adam","","","Catching",9,"34852237","10.1016/j.cell.2021.11.023","Cell"
"13","Adam","","","Hantman",5,"34890577","10.1016/j.cell.2021.11.019","Cell"
"14","Adam","J","","Kucharski",16,"34890548","10.1016/j.cell.2021.10.031","Cell"
"15","Adam","B","","Olshen",19,"34963056","10.1016/j.cell.2021.12.004","Cell"
"16","Ádám","","","Póti",7,"34605051","10.15252/embj.2021108225","The EMBO journal"
"17","Adi","","","Millman",3,"34644530","10.1016/j.cell.2021.09.031","Cell"
"18","Adil","I","","Daud",28,"34963056","10.1016/j.cell.2021.12.004","Cell"
"19","Aditya","","","Nair",3,"34822783","10.1016/j.cell.2021.10.021","Cell"
"20","Adnan","S","","Askari",9,"34852236","10.1016/j.cell.2021.11.007","Cell"
"21","Adolf","S","","Bierhuizen",4,"34873731","10.15252/embj.2020106837","The EMBO journal"
"22","Adrian","","","Brückner",1,"34890552","10.1016/j.cell.2021.11.014","Cell"
"23","Adrian","M","","Isaacs",16,"34791698","10.15252/embj.2020105026","The EMBO journal"
"24","Adrian","","","Shields",33,"34735795","10.1016/j.cell.2021.10.011","Cell"
"25","Adriana","","","Magalska",5,"34725842","10.15252/embj.2021108788","The EMBO journal"
"26","Adrienn","","","Angyal",13,"34735795","10.1016/j.cell.2021.10.011","Cell"
"27","Adrienne","","","Goode",29,"34921774","10.1016/j.cell.2021.12.002","Cell"
"28","Adrienne","C","","Philson",5,"34610277","10.1016/j.cell.2021.09.013","Cell"
"29","Adwoa","","","Sefah",9,"34715023","10.1016/j.cell.2021.10.009","Cell"
"30","Afshin","","","Beheshti",38,"34822785","10.1016/j.cell.2021.11.008","Cell"
"31","Agata","A","","Bielecka",7,"34676563","10.15252/embj.2021108287","The EMBO journal"
"32","Agatha","","","Treveil",109,"34939300","10.15252/msb.202110851","Molecular systems biology"
"33","Agnieszka","","","Lukaszewicz",1,"34793701","10.1016/j.cell.2021.10.025","Cell"
"34","Agnieszka","","","Piszczek",7,"34786738","10.15252/embj.2020105862","The EMBO journal"
"35","Ahmed","","","El-Sehemy",11,"34494680","10.15252/embj.2020107264","The EMBO journal"
"36","Ahmed","","","Haouz",11,"34852239","10.1016/j.cell.2021.11.010","Cell"
"37","Aida","","","Iljazovic",5,"34676563","10.15252/embj.2021108287","The EMBO journal"
"38","Aishwarya","","","Devaraj",2,"34735796","10.1016/j.cell.2021.10.010","Cell"
