"","index","CollectiveName","LastName","ForeName","Initials","order","Title","PMID"
"1",1,NA,"Niu","Shihui","S",1,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"2",1,NA,"Li","Jiang","J",2,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"3",1,NA,"Bo","Wenhao","W",3,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"4",1,NA,"Yang","Weifei","W",4,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"5",1,NA,"Zuccolo","Andrea","A",5,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"6",1,NA,"Giacomello","Stefania","S",6,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"7",1,NA,"Chen","Xi","X",7,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"8",1,NA,"Han","Fangxu","F",8,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"9",1,NA,"Yang","Junhe","J",9,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"10",1,NA,"Song","Yitong","Y",10,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"11",1,NA,"Nie","Yumeng","Y",11,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"12",1,NA,"Zhou","Biao","B",12,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"13",1,NA,"Wang","Peiyi","P",13,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"14",1,NA,"Zuo","Quan","Q",14,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"15",1,NA,"Zhang","Hui","H",15,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"16",1,NA,"Ma","Jingjing","J",16,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"17",1,NA,"Wang","Jun","J",17,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"18",1,NA,"Wang","Lvji","L",18,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
"19",1,NA,"Zhu","Qianya","Q",19,"The Chinese pine genome and methylome unveil key features of conifer evolution.","34965378"
