"","index","CollectiveName","LastName","ForeName","Initials","order","Title","PMID"
"1",1,NA,"Amemiya","Haley M","HM",1,"Distinct heterochromatin-like domains promote transcriptional memory and silence parasitic genetic elements in bacteria.","34961960"
"2",1,NA,"Goss","Thomas J","TJ",2,"Distinct heterochromatin-like domains promote transcriptional memory and silence parasitic genetic elements in bacteria.","34961960"
"3",1,NA,"Nye","Taylor M","TM",3,"Distinct heterochromatin-like domains promote transcriptional memory and silence parasitic genetic elements in bacteria.","34961960"
"4",1,NA,"Hurto","Rebecca L","RL",4,"Distinct heterochromatin-like domains promote transcriptional memory and silence parasitic genetic elements in bacteria.","34961960"
"5",1,NA,"Simmons","Lyle A","LA",5,"Distinct heterochromatin-like domains promote transcriptional memory and silence parasitic genetic elements in bacteria.","34961960"
"6",1,NA,"Freddolino","Peter L","PL",6,"Distinct heterochromatin-like domains promote transcriptional memory and silence parasitic genetic elements in bacteria.","34961960"
"7",2,NA,"Mo","Chunyang","C",1,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"8",2,NA,"Guo","Jingxin","J",2,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"9",2,NA,"Qin","Jiachen","J",3,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"10",2,NA,"Zhang","Xiaoying","X",4,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"11",2,NA,"Sun","Yuxi","Y",5,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"12",2,NA,"Wei","Hanjing","H",6,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"13",2,NA,"Cao","Dandan","D",7,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"14",2,NA,"Zhang","Yiying","Y",8,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"15",2,NA,"Zhao","Chengchen","C",9,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"16",2,NA,"Xiong","Yanhong","Y",10,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"17",2,NA,"Zhang","Yong","Y",11,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"18",2,NA,"Sun","Yao","Y",12,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"19",2,NA,"Shen","Li","L",13,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"20",2,NA,"Yue","Rui","R",14,"Single-cell transcriptomics of LepR-positive skeletal cells reveals heterogeneous stress-dependent stem and progenitor pools.","34957577"
"21",3,NA,"Giannone","Chiara","C",1,"Biogenesis of secretory immunoglobulin M requires intermediate non-native disulfide bonds and engagement of the protein disulfide isomerase ERp44.","34957576"
"22",3,NA,"Chelazzi","Maria Rita","MR",2,"Biogenesis of secretory immunoglobulin M requires intermediate non-native disulfide bonds and engagement of the protein disulfide isomerase ERp44.","34957576"
"23",3,NA,"Orsi","Andrea","A",3,"Biogenesis of secretory immunoglobulin M requires intermediate non-native disulfide bonds and engagement of the protein disulfide isomerase ERp44.","34957576"
"24",3,NA,"Anelli","Tiziana","T",4,"Biogenesis of secretory immunoglobulin M requires intermediate non-native disulfide bonds and engagement of the protein disulfide isomerase ERp44.","34957576"
"25",3,NA,"Nguyen","Tuan","T",5,"Biogenesis of secretory immunoglobulin M requires intermediate non-native disulfide bonds and engagement of the protein disulfide isomerase ERp44.","34957576"
"26",3,NA,"Buchner","Johannes","J",6,"Biogenesis of secretory immunoglobulin M requires intermediate non-native disulfide bonds and engagement of the protein disulfide isomerase ERp44.","34957576"
"27",3,NA,"Sitia","Roberto","R",7,"Biogenesis of secretory immunoglobulin M requires intermediate non-native disulfide bonds and engagement of the protein disulfide isomerase ERp44.","34957576"
"28",4,NA,"Maffei","Enea","E",1,"Messages from the dead protect bacteria from viral attack.","34957575"
"29",4,NA,"Harms","Alexander","A",2,"Messages from the dead protect bacteria from viral attack.","34957575"
"30",5,NA,"Welsh","Kaeli A","KA",1,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"31",5,NA,"Bolhuis","Derek L","DL",2,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"32",5,NA,"Nederstigt","Anneroos E","AE",3,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"33",5,NA,"Boyer","Joshua","J",4,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"34",5,NA,"Temple","Brenda R S","BRS",5,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"35",5,NA,"Bonacci","Thomas","T",6,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"36",5,NA,"Gu","Li","L",7,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"37",5,NA,"Ordureau","Alban","A",8,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"38",5,NA,"Harper","J Wade","JW",9,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"39",5,NA,"Steimel","Joshua P","JP",10,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"40",5,NA,"Zhang","Qi","Q",11,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"41",5,NA,"Emanuele","Michael J","MJ",12,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"42",5,NA,"Harrison","Joseph S","JS",13,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"43",5,NA,"Brown","Nicholas G","NG",14,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.","34942047"
"44",6,NA,"Conley","Michaela J","MJ",1,"Helical ordering of envelope-associated proteins and glycoproteins in respiratory syncytial virus.","34935163"
"45",6,NA,"Short","Judith M","JM",2,"Helical ordering of envelope-associated proteins and glycoproteins in respiratory syncytial virus.","34935163"
"46",6,NA,"Burns","Andrew M","AM",3,"Helical ordering of envelope-associated proteins and glycoproteins in respiratory syncytial virus.","34935163"
"47",6,NA,"Streetley","James","J",4,"Helical ordering of envelope-associated proteins and glycoproteins in respiratory syncytial virus.","34935163"
