"","index","CollectiveName","LastName","ForeName","Initials","order","Title","PMID"
"1",1,NA,"Ostaszewski","Marek","M",1,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"2",1,NA,"Niarakis","Anna","A",2,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"3",1,NA,"Mazein","Alexander","A",3,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"4",1,NA,"Kuperstein","Inna","I",4,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"5",1,NA,"Phair","Robert","R",5,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"6",1,NA,"Orta-Resendiz","Aurelio","A",6,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"7",1,NA,"Singh","Vidisha","V",7,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"8",1,NA,"Aghamiri","Sara Sadat","SS",8,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"9",1,NA,"Acencio","Marcio Luis","ML",9,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"10",1,NA,"Glaab","Enrico","E",10,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"11",1,NA,"Ruepp","Andreas","A",11,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"12",1,NA,"Fobo","Gisela","G",12,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"13",1,NA,"Montrone","Corinna","C",13,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"14",1,NA,"Brauner","Barbara","B",14,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"15",1,NA,"Frishman","Goar","G",15,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"16",1,NA,"Monraz Gómez","Luis Cristóbal","LC",16,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"17",1,NA,"Somers","Julia","J",17,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"18",1,NA,"Hoch","Matti","M",18,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"19",1,NA,"Kumar Gupta","Shailendra","S",19,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"20",1,NA,"Scheel","Julia","J",20,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"21",1,NA,"Borlinghaus","Hanna","H",21,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"22",1,NA,"Czauderna","Tobias","T",22,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"23",1,NA,"Schreiber","Falk","F",23,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"24",1,NA,"Montagud","Arnau","A",24,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"25",1,NA,"Ponce de Leon","Miguel","M",25,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"26",1,NA,"Funahashi","Akira","A",26,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"27",1,NA,"Hiki","Yusuke","Y",27,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"28",1,NA,"Hiroi","Noriko","N",28,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"29",1,NA,"Yamada","Takahiro G","TG",29,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"30",1,NA,"Dräger","Andreas","A",30,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"31",1,NA,"Renz","Alina","A",31,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"32",1,NA,"Naveez","Muhammad","M",32,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"33",1,NA,"Bocskei","Zsolt","Z",33,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"34",1,NA,"Messina","Francesco","F",34,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"35",1,NA,"Börnigen","Daniela","D",35,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"36",1,NA,"Fergusson","Liam","L",36,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"37",1,NA,"Conti","Marta","M",37,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"38",1,NA,"Rameil","Marius","M",38,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"39",1,NA,"Nakonecnij","Vanessa","V",39,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"40",1,NA,"Vanhoefer","Jakob","J",40,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"41",1,NA,"Schmiester","Leonard","L",41,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"42",1,NA,"Wang","Muying","M",42,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"43",1,NA,"Ackerman","Emily E","EE",43,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"44",1,NA,"Shoemaker","Jason E","JE",44,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"45",1,NA,"Zucker","Jeremy","J",45,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"46",1,NA,"Oxford","Kristie","K",46,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"47",1,NA,"Teuton","Jeremy","J",47,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"48",1,NA,"Kocakaya","Ebru","E",48,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"49",1,NA,"Summak","Gökçe Yağmur","GY",49,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"50",1,NA,"Hanspers","Kristina","K",50,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"51",1,NA,"Kutmon","Martina","M",51,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"52",1,NA,"Coort","Susan","S",52,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"53",1,NA,"Eijssen","Lars","L",53,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"54",1,NA,"Ehrhart","Friederike","F",54,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"55",1,NA,"Rex","D A B","DAB",55,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"56",1,NA,"Slenter","Denise","D",56,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"57",1,NA,"Martens","Marvin","M",57,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"58",1,NA,"Pham","Nhung","N",58,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"59",1,NA,"Haw","Robin","R",59,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"60",1,NA,"Jassal","Bijay","B",60,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"61",1,NA,"Matthews","Lisa","L",61,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
"62",1,NA,"Orlic-Milacic","Marija","M",62,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.","34939300"
