"","index","CollectiveName","LastName","ForeName","Initials","order","Title","PMID"
"1",1,NA,"Fu","Jianbo","J",1,"Optimization of metabolomic data processing using NOREVA.","34952956"
"2",1,NA,"Zhang","Ying","Y",2,"Optimization of metabolomic data processing using NOREVA.","34952956"
"3",1,NA,"Wang","Yunxia","Y",3,"Optimization of metabolomic data processing using NOREVA.","34952956"
"4",1,NA,"Zhang","Hongning","H",4,"Optimization of metabolomic data processing using NOREVA.","34952956"
"5",1,NA,"Liu","Jin","J",5,"Optimization of metabolomic data processing using NOREVA.","34952956"
"6",1,NA,"Tang","Jing","J",6,"Optimization of metabolomic data processing using NOREVA.","34952956"
"7",1,NA,"Yang","Qingxia","Q",7,"Optimization of metabolomic data processing using NOREVA.","34952956"
"8",1,NA,"Sun","Huaicheng","H",8,"Optimization of metabolomic data processing using NOREVA.","34952956"
"9",1,NA,"Qiu","Wenqi","W",9,"Optimization of metabolomic data processing using NOREVA.","34952956"
"10",1,NA,"Ma","Yinghui","Y",10,"Optimization of metabolomic data processing using NOREVA.","34952956"
"11",1,NA,"Li","Zhaorong","Z",11,"Optimization of metabolomic data processing using NOREVA.","34952956"
"12",1,NA,"Zheng","Mingyue","M",12,"Optimization of metabolomic data processing using NOREVA.","34952956"
"13",1,NA,"Zhu","Feng","F",13,"Optimization of metabolomic data processing using NOREVA.","34952956"
"14",2,NA,"Grunwald","Hannah A","HA",1,"Applications of and considerations for using CRISPR-Cas9-mediated gene conversion systems in rodents.","34949863"
"15",2,NA,"Weitzel","Alexander J","AJ",2,"Applications of and considerations for using CRISPR-Cas9-mediated gene conversion systems in rodents.","34949863"
"16",2,NA,"Cooper","Kimberly L","KL",3,"Applications of and considerations for using CRISPR-Cas9-mediated gene conversion systems in rodents.","34949863"
"17",3,NA,"Chu","Chengyan","C",1,"Hyperosmolar blood-brain barrier opening using intra-arterial injection of hyperosmotic mannitol in mice under real-time MRI guidance.","34903870"
"18",3,NA,"Jablonska","Anna","A",2,"Hyperosmolar blood-brain barrier opening using intra-arterial injection of hyperosmotic mannitol in mice under real-time MRI guidance.","34903870"
"19",3,NA,"Gao","Yue","Y",3,"Hyperosmolar blood-brain barrier opening using intra-arterial injection of hyperosmotic mannitol in mice under real-time MRI guidance.","34903870"
"20",3,NA,"Lan","Xiaoyan","X",4,"Hyperosmolar blood-brain barrier opening using intra-arterial injection of hyperosmotic mannitol in mice under real-time MRI guidance.","34903870"
"21",3,NA,"Lesniak","Wojciech G","WG",5,"Hyperosmolar blood-brain barrier opening using intra-arterial injection of hyperosmotic mannitol in mice under real-time MRI guidance.","34903870"
"22",3,NA,"Liang","Yajie","Y",6,"Hyperosmolar blood-brain barrier opening using intra-arterial injection of hyperosmotic mannitol in mice under real-time MRI guidance.","34903870"
"23",3,NA,"Liu","Guanshu","G",7,"Hyperosmolar blood-brain barrier opening using intra-arterial injection of hyperosmotic mannitol in mice under real-time MRI guidance.","34903870"
"24",3,NA,"Li","Shen","S",8,"Hyperosmolar blood-brain barrier opening using intra-arterial injection of hyperosmotic mannitol in mice under real-time MRI guidance.","34903870"
