"","DOI","ForeName","Middle1","LastName","Order","Title","PMID","Journal","TitleSem","CitationCount"
"1","10.1029/2021MS002505","Dorian","S","Abbot",4,"Evolving CO2 Rather Than SST Leads to a Factor of Ten Decrease in GCM Convergence Time.","34820055","Journal of advances in modeling earth systems","Evolving CO2 Rather Than SST Leads to a Factor of Ten Decrease in GCM Convergence Time",0
"2","10.1029/2021MS002505","David","M","Romps",3,"Evolving CO2 Rather Than SST Leads to a Factor of Ten Decrease in GCM Convergence Time.","34820055","Journal of advances in modeling earth systems","Evolving CO2 Rather Than SST Leads to a Factor of Ten Decrease in GCM Convergence Time",0
"3","10.1029/2021MS002505","Jonah","","Bloch-Johnson",2,"Evolving CO2 Rather Than SST Leads to a Factor of Ten Decrease in GCM Convergence Time.","34820055","Journal of advances in modeling earth systems","Evolving CO2 Rather Than SST Leads to a Factor of Ten Decrease in GCM Convergence Time",0
"4","10.1029/2021MS002505","Yixiao","","Zhang",1,"Evolving CO2 Rather Than SST Leads to a Factor of Ten Decrease in GCM Convergence Time.","34820055","Journal of advances in modeling earth systems","Evolving CO2 Rather Than SST Leads to a Factor of Ten Decrease in GCM Convergence Time",0
"5","10.1038/s41561-021-00837-7","Alexandra","L","Boghosian",1,"Development of Ice-Shelf Estuaries Promotes Fractures and Calving.","34917170","Nature geoscience","Development of ice-shelf estuaries promotes fractures and calving",0
"6","10.1038/s41561-021-00837-7","Lincoln","H","Pitcher",2,"Development of Ice-Shelf Estuaries Promotes Fractures and Calving.","34917170","Nature geoscience","Development of ice-shelf estuaries promotes fractures and calving",0
"7","10.1038/s41561-021-00837-7","Elena","","Kosh",4,"Development of Ice-Shelf Estuaries Promotes Fractures and Calving.","34917170","Nature geoscience","Development of ice-shelf estuaries promotes fractures and calving",0
"8","10.1038/s41561-021-00837-7","Patrick","M","Alexander",5,"Development of Ice-Shelf Estuaries Promotes Fractures and Calving.","34917170","Nature geoscience","Development of ice-shelf estuaries promotes fractures and calving",0
"9","10.1038/s41561-021-00837-7","Laurence","C","Smith",3,"Development of Ice-Shelf Estuaries Promotes Fractures and Calving.","34917170","Nature geoscience","Development of ice-shelf estuaries promotes fractures and calving",0
"10","10.1038/s41561-021-00837-7","Marco","","Tedesco",6,"Development of Ice-Shelf Estuaries Promotes Fractures and Calving.","34917170","Nature geoscience","Development of ice-shelf estuaries promotes fractures and calving",0
"11","10.1038/s41561-021-00837-7","Robin","E","Bell",7,"Development of Ice-Shelf Estuaries Promotes Fractures and Calving.","34917170","Nature geoscience","Development of ice-shelf estuaries promotes fractures and calving",0
"12","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"13","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"14","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"15","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"16","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"17","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"18","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"19","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"20","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"21","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"22","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
"23","10.1038/s41561-021-00848-4",NA,NA,NA,NA,NA,NA,"Nature geoscience","Regulation of ionospheric plasma velocities by thermospheric winds",0
