"","index","CollectiveName","LastName","ForeName","Initials","order","Title","PMID"
"1",1,NA,"Zlotorynski","Eytan","E",1,"MYC in TOP shape.","34912109"
"2",2,NA,"Baumann","Kim","K",1,"A role model of human blastocysts.","34907363"
"3",3,NA,"Strzyz","Paulina","P",1,"Signal relay in muscle growth.","34893763"
"4",4,NA,"Bracken","Cameron P","CP",1,"The many regulators of epithelial-mesenchymal transition.","34887545"
"5",4,NA,"Goodall","Gregory J","GJ",2,"The many regulators of epithelial-mesenchymal transition.","34887545"
"6",5,NA,"Bonora","Massimo","M",1,"Molecular mechanisms and consequences of mitochondrial permeability transition.","34880425"
"7",5,NA,"Giorgi","Carlotta","C",2,"Molecular mechanisms and consequences of mitochondrial permeability transition.","34880425"
"8",5,NA,"Pinton","Paolo","P",3,"Molecular mechanisms and consequences of mitochondrial permeability transition.","34880425"
"9",6,NA,"Strzyz","Paulina","P",1,"Big cells, small potential.","34824454"
"10",7,NA,"Malone","Brandon","B",1,"Structures and functions of coronavirus replication-transcription complexes and their relevance for SARS-CoV-2 drug design.","34824452"
"11",7,NA,"Urakova","Nadya","N",2,"Structures and functions of coronavirus replication-transcription complexes and their relevance for SARS-CoV-2 drug design.","34824452"
"12",7,NA,"Snijder","Eric J","EJ",3,"Structures and functions of coronavirus replication-transcription complexes and their relevance for SARS-CoV-2 drug design.","34824452"
"13",7,NA,"Campbell","Elizabeth A","EA",4,"Structures and functions of coronavirus replication-transcription complexes and their relevance for SARS-CoV-2 drug design.","34824452"
"14",8,NA,"Chen","Y Grace","YG",1,"Cellular origins of dsRNA, their recognition and consequences.","34815573"
"15",8,NA,"Hur","Sun","S",2,"Cellular origins of dsRNA, their recognition and consequences.","34815573"
"16",9,NA,"Frixione","Eugenio","E",1,"The multi-structural protein revolution - why so late?","34811533"
"17",9,NA,"Ruiz-Zamarripa","Lourdes","L",2,"The multi-structural protein revolution - why so late?","34811533"
"18",10,NA,"Valet","Manon","M",1,"Mechanical regulation of early vertebrate embryogenesis.","34754086"
"19",10,NA,"Siggia","Eric D","ED",2,"Mechanical regulation of early vertebrate embryogenesis.","34754086"
"20",10,NA,"Brivanlou","Ali H","AH",3,"Mechanical regulation of early vertebrate embryogenesis.","34754086"
"21",11,NA,"Chen","Xuemei","X",1,"Plant and animal small RNA communications between cells and organisms.","34707241"
"22",11,NA,"Rechavi","Oded","O",2,"Plant and animal small RNA communications between cells and organisms.","34707241"
"23",12,NA,"Strzyz","Paulina","P",1,"microRNA communication in plants.","34707240"
"24",13,NA,"Mummery","Christine","C",1,"New guidelines for embryo and stem cell research.","34686868"
"25",13,NA,"Anthony","Eric","E",2,"New guidelines for embryo and stem cell research.","34686868"
"26",14,NA,"Yang","Jing","J",1,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.","34654908"
"27",14,NA,"Antin","Parker","P",2,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.","34654908"
"28",14,NA,"Berx","Geert","G",3,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.","34654908"
"29",14,NA,"Blanpain","Cédric","C",4,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.","34654908"
"30",14,NA,"Brabletz","Thomas","T",5,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.","34654908"
"31",14,NA,"Bronner","Marianne","M",6,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.","34654908"
"32",14,NA,"Campbell","Kyra","K",7,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.","34654908"
"33",14,NA,"Cano","Amparo","A",8,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.","34654908"
"34",14,NA,"Casanova","Jordi","J",9,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.","34654908"
